name,size,year,absoluteLength,breitengrad,laengengrad
Allalingletscher,13,2015,5945,46045723,7934662
Allalingletscher,13,2016,5945,46045723,7934662
Allalingletscher,13,2017,5932,46045723,7934662
Allalingletscher,13,2018,5820,46045723,7934662
Allalingletscher,13,2019,5708,46045723,7934662
Allalingletscher,13,2020,5596,46045723,7934662
Allalingletscher,13,2021,5484,46045723,7934662
Allalingletscher,13,2022,5372,46045723,7934662
Allalingletscher,13,2023,5260,46045723,7934662
Allalingletscher,13,2024,5149,46045723,7934662
Allalingletscher,13,2025,5037,46045723,7934662
Allalingletscher,13,2026,4925,46045723,7934662
Allalingletscher,13,2027,4813,46045723,7934662
Allalingletscher,13,2028,4701,46045723,7934662
Allalingletscher,13,2029,4589,46045723,7934662
Allalingletscher,13,2030,4477,46045723,7934662
Allalingletscher,13,2031,4365,46045723,7934662
Allalingletscher,13,2032,4253,46045723,7934662
Allalingletscher,13,2033,4141,46045723,7934662
Allalingletscher,13,2034,4029,46045723,7934662
Allalingletscher,13,2035,3917,46045723,7934662
Allalingletscher,13,2036,3805,46045723,7934662
Allalingletscher,13,2037,3694,46045723,7934662
Allalingletscher,13,2038,3582,46045723,7934662
Allalingletscher,13,2039,3470,46045723,7934662
Allalingletscher,13,2040,3358,46045723,7934662
Allalingletscher,13,2041,3246,46045723,7934662
Allalingletscher,13,2042,3134,46045723,7934662
Allalingletscher,13,2043,3022,46045723,7934662
Allalingletscher,13,2044,2910,46045723,7934662
Allalingletscher,13,2045,2798,46045723,7934662
Allalingletscher,13,2046,2686,46045723,7934662
Allalingletscher,13,2047,2574,46045723,7934662
Allalingletscher,13,2048,2462,46045723,7934662
Allalingletscher,13,2049,2350,46045723,7934662
Allalingletscher,13,2050,2238,46045723,7934662
Allalingletscher,13,2051,2127,46045723,7934662
Allalingletscher,13,2052,2015,46045723,7934662
Allalingletscher,13,2053,1903,46045723,7934662
Allalingletscher,13,2054,1791,46045723,7934662
Allalingletscher,13,2055,1679,46045723,7934662
Allalingletscher,13,2056,1567,46045723,7934662
Allalingletscher,13,2057,1455,46045723,7934662
Allalingletscher,13,2058,1343,46045723,7934662
Allalingletscher,13,2059,1231,46045723,7934662
Allalingletscher,13,2060,1119,46045723,7934662
Allalingletscher,13,2061,1007,46045723,7934662
Allalingletscher,13,2062,895,46045723,7934662
Allalingletscher,13,2063,783,46045723,7934662
Allalingletscher,13,2064,672,46045723,7934662
Allalingletscher,13,2065,560,46045723,7934662
Allalingletscher,13,2066,448,46045723,7934662
Allalingletscher,13,2067,336,46045723,7934662
Allalingletscher,13,2068,224,46045723,7934662
Allalingletscher,13,2069,112,46045723,7934662
Allalingletscher,13,2070,0,46045723,7934662
Allalingletscher,13,2071,0,46045723,7934662
Allalingletscher,13,2072,0,46045723,7934662
Allalingletscher,13,2073,0,46045723,7934662
Allalingletscher,13,2074,0,46045723,7934662
Allalingletscher,13,2075,0,46045723,7934662
Allalingletscher,13,2076,0,46045723,7934662
Allalingletscher,13,2077,0,46045723,7934662
Allalingletscher,13,2078,0,46045723,7934662
Allalingletscher,13,2079,0,46045723,7934662
Allalingletscher,13,2080,0,46045723,7934662
Allalingletscher,13,2081,0,46045723,7934662
Allalingletscher,13,2082,0,46045723,7934662
Allalingletscher,13,2083,0,46045723,7934662
Allalingletscher,13,2084,0,46045723,7934662
Allalingletscher,13,2085,0,46045723,7934662
Allalingletscher,13,2086,0,46045723,7934662
Allalingletscher,13,2087,0,46045723,7934662
Allalingletscher,13,2088,0,46045723,7934662
Allalingletscher,13,2089,0,46045723,7934662
Allalingletscher,13,2090,0,46045723,7934662
Blüemlisalpgletscher,45,1900,1110,46488274,7771417
Blüemlisalpgletscher,45,1901,1106,46488274,7771417
Blüemlisalpgletscher,45,1902,1106,46488274,7771417
Blüemlisalpgletscher,45,1903,1107,46488274,7771417
Blüemlisalpgletscher,45,1904,1109,46488274,7771417
Blüemlisalpgletscher,45,1905,1097,46488274,7771417
Blüemlisalpgletscher,45,1906,1102,46488274,7771417
Blüemlisalpgletscher,45,1907,1106,46488274,7771417
Blüemlisalpgletscher,45,1908,1088,46488274,7771417
Blüemlisalpgletscher,45,1909,1080,46488274,7771417
Blüemlisalpgletscher,45,1910,1077,46488274,7771417
Blüemlisalpgletscher,45,1911,1069,46488274,7771417
Blüemlisalpgletscher,45,1912,1068,46488274,7771417
Blüemlisalpgletscher,45,1913,1067,46488274,7771417
Blüemlisalpgletscher,45,1914,1065,46488274,7771417
Blüemlisalpgletscher,45,1915,1075,46488274,7771417
Blüemlisalpgletscher,45,1916,1075,46488274,7771417
Blüemlisalpgletscher,45,1917,1081,46488274,7771417
Blüemlisalpgletscher,45,1918,1078,46488274,7771417
Blüemlisalpgletscher,45,1919,1093,46488274,7771417
Blüemlisalpgletscher,45,1920,1100,46488274,7771417
Blüemlisalpgletscher,45,1921,1100,46488274,7771417
Blüemlisalpgletscher,45,1922,1100,46488274,7771417
Blüemlisalpgletscher,45,1923,1100,46488274,7771417
Blüemlisalpgletscher,45,1924,1102,46488274,7771417
Blüemlisalpgletscher,45,1925,1103,46488274,7771417
Blüemlisalpgletscher,45,1926,1110,46488274,7771417
Blüemlisalpgletscher,45,1927,1105,46488274,7771417
Blüemlisalpgletscher,45,1928,1095,46488274,7771417
Blüemlisalpgletscher,45,1929,1090,46488274,7771417
Blüemlisalpgletscher,45,1930,1090,46488274,7771417
Blüemlisalpgletscher,45,1931,1083,46488274,7771417
Blüemlisalpgletscher,45,1932,1077,46488274,7771417
Blüemlisalpgletscher,45,1933,1071,46488274,7771417
Blüemlisalpgletscher,45,1934,1059,46488274,7771417
Blüemlisalpgletscher,45,1935,1051,46488274,7771417
Blüemlisalpgletscher,45,1936,1044,46488274,7771417
Blüemlisalpgletscher,45,1937,1034,46488274,7771417
Blüemlisalpgletscher,45,1938,1027,46488274,7771417
Blüemlisalpgletscher,45,1939,1027,46488274,7771417
Blüemlisalpgletscher,45,1940,1017,46488274,7771417
Blüemlisalpgletscher,45,1941,1017,46488274,7771417
Blüemlisalpgletscher,45,1942,1010,46488274,7771417
Blüemlisalpgletscher,45,1943,998,46488274,7771417
Blüemlisalpgletscher,45,1944,992,46488274,7771417
Blüemlisalpgletscher,45,1945,992,46488274,7771417
Blüemlisalpgletscher,45,1946,978,46488274,7771417
Blüemlisalpgletscher,45,1947,971,46488274,7771417
Blüemlisalpgletscher,45,1948,959,46488274,7771417
Blüemlisalpgletscher,45,1949,944,46488274,7771417
Blüemlisalpgletscher,45,1950,921,46488274,7771417
Blüemlisalpgletscher,45,1951,903,46488274,7771417
Blüemlisalpgletscher,45,1952,885,46488274,7771417
Blüemlisalpgletscher,45,1953,884,46488274,7771417
Blüemlisalpgletscher,45,1954,879,46488274,7771417
Blüemlisalpgletscher,45,1955,879,46488274,7771417
